question,ground_truth,generated_answer,faithfulness,answer_relevancy,context_precision,context_recall,groundedness,hallucination_score,latency
What is the official title of the financial report for IFC's 2024 fiscal year?,"The title of the document is ""IFC 2024 ANNUAL REPORT FINANCIALS"".",IFC 2024 ANNUAL REPORT FINANCIALS,1.0,1.0,1.0,1.0,1.0,0.0,14.290281057357788
"What was IFC's Net Income for the fiscal year ending June 30, 2024?","The Net income for the year ended June 30, 2024, was $1,485 million.","Based on Figure 25: IFC's Net Income (Loss) FY22–FY24, the Net Income for the fiscal year ended June 30, 2024 (FY24) was $1,485 million.",1.0,1.0,0.85,1.0,1.0,0.0,13.807672023773192
"What was the total value of IFC's assets as of June 30, 2023?","Total assets as of June 30, 2023, were $110,547 million.",I could not find the answer in the document.,1.0,1.0,0.2,0.0,1.0,0.0,12.733341932296751
What is the stated mission of the International Finance Corporation?,IFC's mission is to end extreme poverty and boost shared prosperity on a livable planet.,The International Finance Corporation (IFC) was established in 1956 to further economic development in its member countries by encouraging the growth of private enterprise.,1.0,0.5,0.25,0.0,1.0,0.0,10.573746919631958
What was the revised subscription deadline for the General Capital Increase (GCI) following the April 2024 extension?,"The subscription deadline for the GCI was extended to April 16, 2025.","The revised subscription deadline for the General Capital Increase (GCI) following the April 2024 extension was April 16, 2025.",1.0,1.0,0.4,1.0,1.0,0.0,10.383631706237791
What was the Income Available for Designations for IFC in FY24?,"According to Figure 1, the Income Available for Designations in FY24 was $1,558 million.",Income Available for Designations totaled $1.6 billion in FY24.,1.0,1.0,0.7,0.9,1.0,0.0,10.65972900390625
"What were IFC's total disbursements, excluding guarantees, in FY24?","Figure 3 illustrates disbursements in US$ billions, showing $19.1 billion in FY24.","According to the context, IFC disbursed $19.1 billion in FY24 excluding guarantees.",1.0,1.0,0.7,1.0,1.0,0.0,16.17703104019165
What was the approximate value of IFC's outstanding borrowings as of June 2022?,Figure 6 shows borrowings at approximately $50 billion as of June 2022.,I could not find the answer in the document.,1.0,1.0,0.0,0.0,1.0,0.0,13.613484144210815
With which accounting principles do IFC's consolidated financial statements conform?,IFC's accounting and reporting policies conform with accounting principles generally accepted in the United States of America (U.S. GAAP).,The accounting and reporting policies of IFC conform with accounting principles generally accepted in the United States of America (U.S. GAAP).,1.0,1.0,0.5,1.0,1.0,0.0,11.103989124298096
"What was the value attributed to ""PCRF Income"" in the reconciliation to Income Available for Designations for the year ended June 30, 2024?","For the year ended June 30, 2024, the PCRF Income was $(30) million.","Based on Table 2: Reconciliation of Net Income or Loss to Income Available for Designations, the value attributed to ""PCRF Income"" for the year ended June 30, 2024, was (30) million US$.",1.0,1.0,0.4,1.0,1.0,0.0,12.25956392288208
"What were IFC's total ""Charges on borrowings"" for the fiscal year ended June 30, 2023?","For the year ended June 30, 2023, the Charges on borrowings were $(2,598) million.","According to the context, IFC's ""Charges on borrowings"" were $2.6 billion for the fiscal year ended June 30, 2023 (FY23).",1.0,1.0,0.2,1.0,1.0,0.0,10.616642236709597
How is the Capital Utilization Ratio (CUR) defined within IFC's financial reporting?,CUR is defined as Capital Required divided by Capital Available.,"Based on the context provided, the Capital Utilization Ratio (CUR) is defined as a ratio to measure IFC's capital adequacy expressed as Capital Required divided by Capital Available.",1.0,1.0,0.5,1.0,1.0,0.0,11.45200800895691
What is the initial stage of IFC's Investment Project Cycle?,The first stage shown in IFC's Investment Project Cycle (Figure 8) is Business Development.,I could not find the answer in the document.,1.0,1.0,0.3,0.0,1.0,0.0,10.31851291656494
"What financial instruments, beyond direct stock purchases, does IFC utilize in managing its equity investments?","IFC uses put and call options, profit participation features, conversion features, warrants, and other types of instruments in managing its equity investments.","According to the document, IFC acquires equity investments as a limited partner in LLPs and LLCs, and/or as an investor in private equity funds.",1.0,0.0,0.1,0.0,1.0,0.0,11.775968074798584
